number_of_trees,max_features,bootstrap,min_samples_split,value,Timestamp
1,0.7995312413311895,1,10,0.07976532011135849,30108
5,0.08089937528226052,1,5,0.04844227260128819,265590
5,0.16889127881183683,0,10,0.13664324341033743,510017
4,0.5610875664014506,0,5,0.27146859002449575,644218
1,0.6612628030580842,1,10,0.13379204109118384,676091
5.0,0.2349453968774874,1.0,10,0.11094197553596193,922300
5.0,0.24348025565981254,1.0,5.0,0.13010089970570074,1184255
6.0,0.0033209903954823433,1.0,10,0.2570581424813646,1645553
5.0,0.0014257987234832536,1.0,2.0,0.10422648926568046,1889176
5.0,0.14180186961242638,1.0,7,0.17843859680023583,2123309
5.0,0.05764084783868471,1.0,2.0,0.5187538868134146,2355558
6.0,0.081358550707045,1.0,5,0.10387949418006857,2798417
