number_of_trees,max_features,bootstrap,min_samples_split,value,Timestamp
3,0.5486337591316124,1,3,0.27640904599041854,3067813.0
6,0.39490590641853957,0,6,0.3411988645116292,8884088.0
1,0.6914715997784123,1,6,0.3789198364024727,10338627.0
4,0.39044225290116874,0,5,0.30845940547812895,15064938.0
0,0.39794878793548566,0,7,0.3946686130025997,16317655.0
6,0.014300038724016126,0,3,0.39531974463781916,22146468.0
3,0.029015345460927863,0,2,0.26790295117575114,25326061.0
2,0.0008915518725866805,0,2,0.25328523547053017,27270891.0
0,0.0012484612583074375,0,2,0.45961477327362305,28549122.0
5,1.0,0,10,0.357322646940218,34334371.0
2,0.047492372560980205,0,4,0.2942274950581572,36218192.0
3,0.0025862441488216635,0,10,0.258698788875052,39025044.0
3,1.0,1,10,0.3213751048939632,41775180.0
3,7.254990059084716e-05,0,5,0.24887632022851122,44756078.0
3,0.0009200043967329801,0,5,0.26714256308373346,47743339.0
3,0.2391154049690291,0,2,0.22096637983964543,50929902.0
4,0.00011864644333775101,1,4,0.25249237077739684,55852716.0
3,0.00011479467491549728,0,2,0.26530678312438194,59041046.0
3,0.276982579230697,0,10,0.2524792840463501,61848522.0
6,1.0,1,4,0.38877909189668225,67668703.0
4,0.0005232883261938387,0,4,0.24454853959032669,72620355.0
0,1.0,0,10,0.3947345036431471,73889443.0
4,0.0013025479568589413,1,10,0.30399641453045617,78491405.0
3,0.0022657236633754347,0,10,0.29982361731721285,81373288.0
3,1.0,0,2,0.36958025618773044,84223824.0
3,0.003899682678954905,0,2,0.18231422091755228,87723783.0
2.0,0.0018928393826849797,1.0,10.0,0.3401665632291093,89553329.0
4,0.0023635086760159614,0.0,2.0,0.29292502138849275,95274645.0
5.0,0.006892304815728498,1.0,10.0,0.3126895045513931,101077346.0
2.0,1.0,0.0,2.0,0.3985351736696338,102846420.0
3.0,0.2936993370999938,0.0,2.0,0.2957608995514834,106030497.0
3.0,0.005192792035052437,0.0,2.0,0.2521631730240005,110109663.0
4.0,1.0,1.0,2.0,0.2964157240216925,115918946.0
4.0,0.004087082362250189,0.0,2.0,0.24881418259053673,121555071.0
4.0,0.002297223382679464,1.0,10.0,0.2666584074367484,125991099.0
5.0,0.0015671326778892703,0.0,2.0,0.2557314088027162,131784339.0
4.0,0.0019182560561410906,0.0,2.0,0.25728418468343417,136823296.0
4.0,0.49335636780213254,1.0,2.0,0.2705958371626135,141835205.0
3,0.0027129915548480725,0.0,2.0,0.27820803562660557,144930596.0
3.0,0.0015460363225866553,1.0,10.0,0.30831025882303564,147681835.0
6.0,0.002387809619266908,1.0,10.0,0.40635863538211947,153503608.0
4.0,0.007165699712560475,1.0,2.0,0.30810035119924284,158502970.0
4.0,1.0,0.0,10.0,0.39344803924964716,161903355.0
0.0,1.0,1.0,2.0,0.4061138833223696,163186142.0
3.0,0.320243128320617,1.0,2.0,0.19215698783338256,166232369.0
4.0,0.4172491131986619,0.0,2.0,0.21444693862790956,171329625.0
4.0,0.40276825882931505,1.0,2.0,0.28057685168235214,176360186.0
3.0,0.38639334640570305,1.0,2.0,0.2316729860734995,179464433.0
3.0,0.42767942716505564,0.0,10.0,0.2936753150253805,182143643.0
5.0,0.4920086119735349,0.0,2.0,0.28877628470335787,187936869.0
2.0,0.36470228138094,0.0,2.0,0.32446738077465515,189880506.0
4.0,0.39716324238809064,1.0,10.0,0.2835514686530101,194263357.0
4.0,0.3777683441822388,1.0,2.0,0.2580482569467269,199271914.0
6.0,1.0,0.0,2.0,0.5043341507313626,205101715.0
3.0,0.38123988766166506,1.0,2.0,0.20866947906102565,208389131.0
3.0,0.0071035503937932004,1.0,2.0,0.237144248278232,211458196.0
3.0,0.3800007879335451,1.0,2.0,0.1731253573210529,237396942.0
