number_of_trees,max_features,bootstrap,min_samples_split,value,Timestamp
3,0.9251448731111581,1,9,0.04318757358090168,397422
2,0.24929370767363873,1,3,0.14904375609849807,637563
0,0.05094272075991695,0,8,0.08769547591125718,789580
5,0.9336395249669496,1,2,0.08247140576162382,2027732
1,0.2407438600296241,1,4,0.045638753016984224,2212535
3.0,0.7981583059710061,1.0,7,0.09315932273055355,2610745
6.0,0.7877501766415129,1.0,9.0,0.06831337709437663,4857390
0.0,1.0,1.0,9.0,0.10600788521712949,5011481
1.0,0.45351249385462783,0.0,6.0,0.04172287895340888,5198730
1.0,0.03142753966927037,1.0,5.0,0.03779074536719889,5386125
0.0,0.016756778251244206,0.0,3.0,0.0790871554994787,5541952
3.0,0.3964805109803107,0.0,10.0,0.0650123578115831,5936089
1.0,0.6251425840322068,0.0,9.0,0.08584799843888238,6122648
1.0,0.9230785216996134,1.0,2.0,0.04039077110720171,6312334
6.0,0.9940352897012524,0.0,5.0,0.07793513146980503,8597107
1.0,0.12958903316463022,1.0,3.0,0.04981370065920587,8785978
1.0,0.36322986399403323,0.0,5.0,0.029786149155649422,8974478
4.0,0.5254623946306745,0.0,2.0,0.08021748223515598,9695185
4.0,0.15788219956191465,1.0,10.0,0.05785279010782152,10383985
1.0,0.7016862109121477,1.0,6.0,0.0786828903419414,10574145
3.0,1.0,1.0,10,0.05466055442151763,10972884
1.0,0.0247965476823699,0.0,5.0,0.05256096175003045,11163760
1.0,0.3695658387824008,1.0,3.0,0.0858725381977697,11355570
1.0,0.2586769410909632,1.0,6.0,0.050558474406503635,11546012
1.0,0.28027932138270906,0.0,10,0.045160979008935974,11735292
1.0,0.3784000359703153,0.0,10,0.07261553790880772,11923433
1.0,0.285449095830408,0.0,5.0,0.039411342697929355,12113248
1.0,0.1304251917347805,0.0,10.0,0.06160857844891711,12301585
1.0,0.385086077328062,1.0,5.0,0.08213969859210603,12492005
1.0,0.39030689071413677,0.0,2.0,0.05503264748622493,12684491
1.0,0.0916422275517025,1.0,8.0,0.046054076231537115,12873963
1.0,1.0,1.0,5.0,0.08840435524356244,13064428
1.0,0.3359522636514912,0.0,6.0,0.08544335539716252,13254231
1.0,0.8568593308780521,1.0,2.0,0.09308319195527462,13447624
1.0,0.35876649586934717,0.0,5.0,0.044114616942871096,13638916
5.0,0.6936993063036715,1.0,3.0,0.07595559131184719,14861092
1.0,0.36610476808711484,0.0,2.0,0.0546968922997061,15056867
6.0,0.00011284995370140186,1.0,3.0,0.036021744939914294,17386253
0.0,0.36253192239245347,1.0,5,0.07302109195474005,17544872
4.0,0.5691179090212196,0.0,5.0,0.11294490480424389,18214503
6.0,0.24790932735971105,0.0,7.0,0.16971552451100552,20469980
3.0,0.36256328121741316,0.0,7,0.09340608798379373,20871442
6.0,0.22333704658052406,1.0,10,0.10316937244719128,23122584
1.0,0.05337252813130369,1.0,9,0.07383216029974288,23314782
6.0,0.00291991928519543,0.0,2.0,0.06421149564511892,25668633
