x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
3.6181779776783216,0.7060680010267815,2.4266201836983683,-1.6712751854182284,1.0656217046029761,4.616681870062733,-4.315864694702287,-3.135139731882654,4.482780717415155,-4.434596337182334,4.457658648565076,0.8321784434667814,296.80040729640893,7
4.108528883754964,1.3312698553076032,2.8370936526199175,-2.8239621283020986,-4.099737928292817,-1.61727197678848,-2.37361824512492,2.9293583658577926,-0.31143774665086177,2.2076199932426963,-1.3540860284587604,-3.1780509804026487,192.79102185431594,13
4.025491618517442,-3.038543843772576,3.9995017333864844,-0.9203567376837949,4.618532567412288,-0.6324692377685253,-3.8495514824817905,4.608567664502235,3.6264392103081775,-0.8108239581258418,-2.9814290247816673,-4.336653853299467,237.735498689905,19
1.1858532952235077,1.9177282736987848,3.1261594392006646,1.2380429946968183,3.3644258443099204,-2.5735380588315793,4.837933931733657,-3.6703508208318096,2.2535404917651016,-0.8059606719661492,-3.31598073082979,1.1420289775867118,198.46968529204656,23
1.721537610304594,1.4514608087216283,3.0611593519774587,4.632196400394076,-3.439428204036659,-0.712464767381725,1.3102862688659442,-2.666442848954783,-0.4821915541565156,-4.52341182203694,3.7894783822934492,-0.4642355325489307,268.576833111238,29
4.011605871709982,-2.4546937975097203,-4.83981701238302,-0.47251238205487667,-1.8370185038790607,4.4686890858341375,2.53880438719582,-1.8508487897252017,3.9772925665965886,-0.20683291760665767,-0.24809592998681662,-0.306689771476524,218.30581718515032,34
-2.2753214171266767,2.503218614918792,4.830825584129585,-4.634282477935246,-2.974484432044944,1.709790346724641,-2.4360967863253475,0.31052960448689504,-4.616346128818913,3.0593197734116355,-4.414020049996516,-2.4928935900447655,286.03513848360643,39
-1.9471141036533535,1.6754315724977564,3.0156399328583703,-1.8704364022612423,1.0534339802796246,3.7723730623650624,1.4122834902681163,-2.2889736406969186,-1.454730735323202,-1.5831757090649505,-3.823883464887742,-1.1520806733109028,168.69843931910896,43
-2.1389389425102863,-1.433263153178575,3.841691447725621,-0.4301656303889425,4.053489020593773,-2.215499893769694,4.048786593057359,4.081088065894502,3.985809890386875,-3.7657016487646624,0.05445057015314614,-4.223374562858858,198.29443686987835,47
-4.2581508401852215,0.10271669557215457,-4.12642370028395,4.605480481568232,-1.480356341967135,2.2444283280220088,-3.0805485018438405,-2.5812240434733,1.484895075445893,0.8610654465944121,0.4498867252762553,3.648090735065443,238.1830941059489,51
0.7274032524186786,0.39511959318463674,-0.908792766018415,4.7358283980553875,0.12895032529750328,3.296197693614438,1.765646560339981,1.6867384295275016,3.7348033430857193,4.08857217493334,-1.8341545905957464,0.42973514845259864,192.12247045421338,55
