x1,value,Timestamp
-3.7612340774484228,12.219079608270869,4
-1.7341458277261186,7.674424940430839,9
-3.6364691003973384,12.53420933431657,402
-3.0286943243935935,9.130282336254774,793
-3.0379240108520027,9.182436255743273,1191
-3.093881277604398,9.650580263105898,1546
-3.2309827057125853,11.11097818079834,1918
-3.1314547656860103,10.057215162835847,2280
-1.8286838820861782,7.237378884018787,2626
-2.158499361209498,8.007718967938748,2988
-2.454478149971153,10.093590014526987,3347
-2.3753443488660375,9.789121514414294,3727
